stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
ANFOR_02,28B,48.53166944000762,7.632547616958618,Ancienne Forge,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANGLE_01,999,48.611576,7.788651,Angle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANGLE_02,999,48.611576,7.788651,Angle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANKAR_03,29A,48.5753906303567,7.771443128585815,Ankara,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANKAR_04,29B,48.57653082411485,7.771250009536743,Ankara,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANSYN_01,30A,48.585328528380465,7.742377370595932,Ancienne Synagogue / Les Halles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANSYN_02,30B,48.58530368828942,7.742245942354202,Ancienne Synagogue / Les Halles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARANS_01,31A,48.66047328205465,7.721051126718521,Artisans,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARANS_02,31B,48.659722095956006,7.721216082572937,Artisans,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_03,32C,48.56826999397024,7.776241636315149,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_05,32D,48.56853117897582,7.776861190795898,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_06,32E,48.568503668306406,7.776579558849335,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_09,32G,48.56823743524861,7.776177227497101,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_10,32B,48.56859274688165,7.776425934987628,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_11,32A,48.56823743524861,7.776177227497101,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_12,32A,48.56823743524861,7.776177227497101,Aristide briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARIBR_01,32H,48.56826999397024,7.776241636315149,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ATHEN_01,716A,48.608180292869174,7.709767129945755,Athènes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ATHEN_02,716B,48.608280292869174,7.709767129945755,Athènes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AULIZ_01,755A,48.578071,7.754061,Austerlitz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AULIZ_02,755B,48.578084,7.754122,Austerlitz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AUTA4_03,999B,48.64440284762256,7.7324779614925385,Autoroute A4 fictif SAE,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AUTA4_06,999,48.64440284762256,7.7324779614925385,Autoroute A4 fictif SAE (dir Halles),http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AUTO4_05,999C,48.64440284762256,7.7324779614925385,Autoroute A4 fictif SAE,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AUTO4_06,999,48.64440284762256,7.7324779614925385,Autoroute A4 fictif SAE (Bretelle Dir Halles),http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AVENI_01,37A,48.56503099170008,7.698712348937988,Avenir,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AVENI_02,37B,48.564928041348125,7.698466926813126,Avenir,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_01,38A,48.54516390581323,7.737916186451912,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_02,38B,48.54486203567221,7.738013416528702,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_03,38C,48.5449250734092,7.73784913122654,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_04,38D,48.545048485089566,7.738000005483627,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAILL_01,39A,48.60699862908887,7.779918909072876,Baillis,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAILL_02,39B,48.60659426243044,7.780040949583054,Baillis,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALEE_01,40A,48.53716906666548,7.70989716053009,Bâle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALEE_02,40B,48.536541253170036,7.709881067276001,Bâle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALLA_01,41A,48.506777338761935,7.717167288064957,Ballastière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALLA_02,41B,48.506906174566055,7.717231661081314,Ballastière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BANLI_01,42A,48.60098511465732,7.697851359844208,Banlieue,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BANLI_02,42B,48.60078734203114,7.698122262954712,Banlieue,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARRR_01,43A,48.60186576991,7.745232582092285,Barr,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARRR_02,43B,48.60172919396841,7.745186984539032,Barr,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARTI_01,44A,48.55469674877339,7.739554345607758,Bartischgut,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARTI_02,44B,48.55478374167799,7.739586532115936,Bartischgut,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BELZW_01,46A,48.61929124867159,7.793010771274567,Beltzwoerth,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BELZW_02,46B,48.619287702473194,7.792329490184784,Beltzwoerth,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERGE_01,47A,48.5543754063392,7.762508690357208,Bergerac,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERGE_02,47B,48.55430439116126,7.763004899024963,Bergerac,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERLI_01,48A,48.63704305441075,7.709740251302719,Berlioz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERLI_02,48B,48.63712930973205,7.710319149153179,Berlioz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERLI_04,48C,48.63706222475139,7.709809337434422,Berlioz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERST_01,49A,48.60019579327615,7.711793482303619,Berstett,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERST_02,49B,48.60014258015499,7.711702287197113,Berstett,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHL_01,50A,48.61142428144946,7.686580717563629,Bethel,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHL_02,50B,48.61188269692109,7.686979025602341,Bethel,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHS_01,51A,48.59231609344501,7.761379480361938,Bethesda,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHS_02,51B,48.592340043066464,7.7610549330711365,Bethesda,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
